freq,unit,indic_nrg,geo\TIME_PERIOD,2018,2019,2020,2021,2022,2023
A,NR,CDD,AT,32.69,40.16,10.01,24.65,29.4,37.12
A,NR,CDD,BE,35.78,39.72,52.55,4.18,27.5,12.03
A,NR,CDD,BG,127.77,163.85,165.92,217.2,201.65,248.43
A,NR,CDD,CY,812.18,754,802.51,732.46,698.12,780.47
A,NR,CDD,CZ,45.88,40.21,6.06,10.76,26.63,31.63
A,NR,CDD,DE,52.35,46.05,25.41,11.53,33.71,19.37
A,NR,CDD,DK,14.32,2.19,0.58,0.75,3.4,0.05
A,NR,CDD,EE,25.65,1.33,1.64,38.1,16.45,7.12
A,NR,CDD,EL,312.46,373.09,343.81,420.52,371.98,387.33
A,NR,CDD,ES,239.51,247.65,280.24,238.71,383.95,338.23
A,NR,CDD,EU27_2020,97.85,110.54,98.66,100.15,139.59,121.47
A,NR,CDD,FI,9.22,0.96,0.44,8.04,2.47,1.57
A,NR,CDD,FR,65.98,87.94,76.93,30.7,116.52,87.22
A,NR,CDD,HR,151.3,191.6,130.15,197.2,210.07,181.67
A,NR,CDD,HU,125.31,149.79,70.4,166.58,163.57,120.7
A,NR,CDD,IE,0,0,0,0.24,0.03,0
A,NR,CDD,IT,239.6,305.83,241.58,288.62,375.2,300.78
A,NR,CDD,LT,25.07,11.54,1.13,48.97,19.31,16.66
A,NR,CDD,LU,51.87,59.42,55.61,1.27,29.87,1.72
A,NR,CDD,LV,24.09,3.23,1.7,42.46,13.6,8.77
A,NR,CDD,MT,625.61,756.22,672.27,793.36,841.72,750.93
A,NR,CDD,NL,30.91,39.67,40.09,4.08,18.14,10.86
A,NR,CDD,NO,1.28,0.89,0.13,0.05,0.31,0
A,NR,CDD,PL,29.74,48.99,11.17,29.1,40.65,26.08
A,NR,CDD,PT,234.32,167.04,266.44,133.23,287.32,234.99
A,NR,CDD,RO,84.67,123.62,96.33,137.94,145.61,153.75
A,NR,CDD,SE,4.9,0.98,0.08,0.99,1.57,0.02
A,NR,CDD,SI,53.03,72.66,29.66,63.82,81.16,66.86
A,NR,CDD,SK,53.06,65.09,19.92,62.28,67.77,46.44
A,NR,HDD,AT,3193.65,3279.5,3322.37,3633.44,3228.81,3147.64
A,NR,HDD,BE,2511.15,2532.35,2339.09,2770.92,2377.06,2363.29
A,NR,HDD,BG,2352.1,2152.56,2247.35,2503.07,2307.09,2081
A,NR,HDD,CY,470.75,693.06,626.43,609.84,695.96,529.77
A,NR,HDD,CZ,2995.64,2998.07,3078.94,3452.39,3083.31,2921.97
A,NR,HDD,DE,2774.95,2800.81,2741.03,3114.19,2736.32,2661.88
A,NR,HDD,DK,3048.54,3026.8,2921.4,3263.77,3019.14,3034.4
A,NR,HDD,EE,4064.64,3883.05,3554.43,4283.1,4117.58,3985.22
A,NR,HDD,EL,1371.74,1448.99,1491.43,1535.61,1537.62,1375.8
A,NR,HDD,ES,1796.63,1670.72,1554.52,1663.07,1478.27,1481.64
A,NR,HDD,EU27_2020,2940.9,2909.29,2759.16,3126.31,2857.63,2820.92
A,NR,HDD,FI,5349.59,5482.97,4873.47,5623.37,5276.82,5437.01
A,NR,HDD,FR,2181.92,2246.95,2038.31,2412.69,2035.58,2045.12
A,NR,HDD,HR,2139.52,2076.47,2137.32,2366.18,2114.79,1957.53
A,NR,HDD,HU,2468.7,2381.22,2546.99,2803.43,2549.79,2324.16
A,NR,HDD,IE,2754.34,2706.58,2744.01,2643.76,2548.9,2396.75
A,NR,HDD,IT,1746.84,1813.91,1748.95,1916.57,1734.63,1688.65
A,NR,HDD,LT,3687.57,3391.36,3304.68,4016.22,3773.19,3461.92
A,NR,HDD,LU,2666.78,2753.6,2563.11,3173.52,2671.19,2732.68
A,NR,HDD,LV,3862.19,3622.92,3402.72,4143.7,4025.74,3755.06
A,NR,HDD,MT,365.57,515.23,401.93,465.87,543.62,392.62
A,NR,HDD,NL,2528.64,2514.41,2386.53,2722.19,2395.8,2318.86
A,NR,HDD,NO,5420.27,5509.44,5088.94,5539.23,5294.82,5586.96
A,NR,HDD,PL,3123.43,2951.82,3005.65,3491.49,3200.38,2972.75
A,NR,HDD,PT,1307.33,1109.07,1010.1,1064.78,967.88,1046.75
A,NR,HDD,RO,2748.49,2568.23,2665.22,2993.6,2751.22,2506.53
A,NR,HDD,SE,5122.22,5119.61,4592.22,5201.47,4919.42,5180.32
A,NR,HDD,SI,2579.61,2600.72,2693,2985.84,2643.91,2489.96
A,NR,HDD,SK,2923.83,2899.05,3048.53,3382.63,3042.68,2841.65
