freq,unit,indic_nrg,geo\TIME_PERIOD,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
M,NR,CDD,AT,0,0,0,0,0.37,1.91,7.91,22.4,0.1,0,0,0,0,0,0,0,0,15.69,15.94,8.05,0.48,0,0,0,0,0,0,0,0,0.87,4.31,4.78,0.05,0,0,0,0,0,0,0,0,12.04,8.05,4.53,0.03,0,0,0,0,0,0,0,0.01,7.01,13.43,8.95,0,0,0,0,0,0,0,0,0,5.15,14.71,17.15,0.11,0,0,0
M,NR,CDD,BE,0,0,0,0,0.01,0,23.16,12.61,0,0,0,0,0,0,0,0,0,9.39,25.79,4.54,0,0,0,0,0,0,0,0,0,0.97,4.35,43.77,3.46,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0.13,4.5,12.36,10.51,0,0,0,0,0,0,0,0,0,3.16,3.11,1.91,3.85,0,0,0
M,NR,CDD,BG,0,0,0,0,0.02,14.81,39.12,62.33,11.49,0,0,0,0,0,0,0,0,37.14,46.55,76.81,3.32,0.03,0,0,0,0,0,0,1.78,10.05,59.64,74.75,17.64,2.06,0,0,0,0,0,0,0.08,32.6,94.21,88.13,2.18,0,0,0,0,0,0,0,0.88,17.6,78.78,93.54,10.84,0.01,0,0,0,0,0,0,0,10.87,113.07,109.96,13.79,0.74,0,0
M,NR,CDD,CY,0,0,0,1.65,64.93,115.06,218.6,220.08,153.73,38.13,0,0,0,0,0,0,41.51,119.29,198.44,216.18,132.93,45.59,0.06,0,0,0,0,0,62.55,63.57,202.2,219.27,191.06,63.86,0,0,0,0,0,6.04,30.04,80.66,241.49,247.78,113.21,12.55,0.69,0,0,0,0,1.39,27.49,101.74,216.22,191.87,129.68,29.73,0,0,0,0,0,0,10.54,88.48,257.07,228.23,155.65,37.23,3.27,0
M,NR,CDD,CZ,0,0,0,0,0.07,0.49,10.03,35.29,0,0,0,0,0,0,0,0,0,18.87,16.22,3.87,1.25,0,0,0,0,0,0,0,0,0.1,1.13,4.83,0,0,0,0,0,0,0,0,0,7.9,1.76,1.1,0,0,0,0,0,0,0,0,0,5.84,10.21,10.58,0,0,0,0,0,0,0,0,0,3.19,10.41,18.03,0,0,0,0
M,NR,CDD,DE,0,0,0,0,1.69,1.01,22.15,27.31,0.19,0,0,0,0,0,0,0,0,17.47,19.3,8.82,0.46,0,0,0,0,0,0,0,0,0.58,1.02,23.67,0.14,0,0,0,0,0,0,0,0,10.34,0.83,0.36,0,0,0,0,0,0,0,0,0.09,6.7,13.2,13.61,0.11,0,0,0,0,0,0,0,0,2.74,7.7,8.77,0.16,0,0,0
M,NR,CDD,DK,0,0,0,0,0,0,11.66,2.66,0,0,0,0,0,0,0,0,0,0.02,1.77,0.4,0,0,0,0,0,0,0,0,0,0.03,0,0.55,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.02,2.82,0.56,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
M,NR,CDD,EE,0,0,0,0,0,0,18.79,6.86,0,0,0,0,0,0,0,0,0,0.6,0.73,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,14.31,23.79,0,0,0,0,0,0,0,0,0,0,6.04,2.57,7.84,0,0,0,0,0,0,0,0,0,0.04,0,7.08,0,0,0,0
M,NR,CDD,EL,0,0,0,0.24,4.41,42.69,113.19,115.56,36.08,0.29,0,0,0,0,0,0,0.72,85.12,109.01,146.52,30.31,1.38,0.03,0,0,0,0,0,15.18,29.56,114.53,121.54,55.73,7.27,0,0,0,0,0,0.39,3.31,62.13,163.41,167.45,23.75,0.08,0,0,0,0,0,0,8.62,73.5,129.33,125.41,32.05,3.07,0,0,0,0,0,0,0.06,29.13,175.06,145.57,35.6,1.31,0.6,0
M,NR,CDD,ES,0,0,0,0,0.03,28.88,64.04,106.65,38.95,0.96,0,0,0,0,0,0,3.34,36.59,97.65,88.2,19.34,2.47,0.06,0,0,0.01,0,0,9.19,27.48,120.85,97.16,25.03,0.39,0.13,0,0,0,0.01,0,3.4,25.91,85.21,99.23,24.46,0.46,0.03,0,0,0,0,0.04,12.16,63.13,151.58,125.08,28.78,3.16,0.02,0,0,0,0.18,2.96,1.27,44.92,118.7,135.79,21.9,12.39,0.12,0
M,NR,CDD,EU27_2020,0,0,0,0.02,0.67,9.57,31.21,45.65,10.45,0.28,0,0,0,0,0,0,0.86,25.75,38.84,37.87,6.66,0.55,0.01,0,0,0,0,0,2.33,8.36,35.25,41.94,10.18,0.58,0.02,0,0,0,0,0.03,0.63,18.48,39.38,35.2,6.3,0.12,0.01,0,0,0,0,0.01,2.82,25.52,54.26,47.44,8.93,0.61,0,0,0,0,0.02,0.43,0.2,12.5,44.57,51.03,10.33,2.35,0.04,0
M,NR,CDD,FI,0,0,0,0,0,0,6.85,2.37,0,0,0,0,0,0,0,0,0,0.04,0.92,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,3.67,4.37,0,0,0,0,0,0,0,0,0,0,0.99,0.91,0.57,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0
M,NR,CDD,FR,0,0,0,0,0.01,3.65,26.24,34.47,1.59,0.02,0,0,0,0,0,0,0,26.58,41.55,17.94,1.76,0.11,0,0,0,0,0,0,0.08,4.81,20.6,44.95,6.49,0,0,0,0,0,0,0,0,7.19,10.09,10.35,3.06,0.01,0,0,0,0,0,0,1.59,23.33,41.47,43.36,6.69,0.08,0,0,0,0,0,0,0,5.06,20.96,41.11,19.79,0.3,0,0
M,NR,CDD,HR,0,0,0,0,2.09,19.41,39.01,84.38,6.41,0,0,0,0,0,0,0,0,48.67,59.7,75.37,7.86,0,0,0,0,0,0,0,0.1,10.96,41.63,65.83,11.58,0.05,0,0,0,0,0,0,0,51,83.49,59.49,3.22,0,0,0,0,0,0,0,1.14,51.6,83.77,68.45,5.11,0,0,0,0,0,0,0,0.14,21.56,77.03,71.39,11.32,0.23,0,0
M,NR,CDD,HU,0,0,0,0,0.05,13.86,26.26,81.44,3.7,0,0,0,0,0,0,0,0,42.62,37.47,64.53,5.17,0,0,0,0,0,0,0,0,10.2,23.59,36.36,0.25,0,0,0,0,0,0,0,0,50.14,85.88,30.37,0.19,0,0,0,0,0,0,0,0,28.73,69.62,64.94,0.28,0,0,0,0,0,0,0,0,13.34,45.2,61.25,0.8,0.11,0,0
M,NR,CDD,IE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
